,건수,건수,건수,건수,건수,건수,건수,건수,건수,건수
죄종,강간 발생,강도 발생,살인 발생,절도 발생,폭력 발생,강간 검거,강도 검거,살인 검거,절도 검거,폭력 검거
구분,,,,,,,,,,
강남,339,24,3,2438,2336,339,24,3,2438,2336
강동,160,14,4,1754,2530,160,14,4,1754,2530
강북,217,5,7,1222,2778,217,5,7,1222,2778
강서,275,10,9,1952,3204,275,10,9,1952,3204
관악,322,12,6,2103,3235,322,12,6,2103,3235
광진,279,11,4,2636,2392,279,11,4,2636,2392
구로,273,10,9,1910,3164,273,10,9,1910,3164
금천,175,7,6,1264,2193,175,7,6,1264,2193
남대문,57,5,1,946,890,57,5,1,946,890
노원,159,6,5,1857,2516,159,6,5,1857,2516
도봉,123,5,3,866,1441,123,5,3,866,1441
동대문,190,10,5,1940,2642,190,10,5,1940,2642
동작,325,7,8,1226,1661,325,7,8,1226,1661
마포,399,4,4,2527,2939,399,4,4,2527,2939
방배,78,4,1,472,500,78,4,1,472,500
서대문,175,5,6,1503,1976,175,5,6,1503,1976
서부,54,4,4,781,1128,54,4,4,781,1128
서초,350,9,4,1733,1838,350,9,4,1733,1838
성동,104,3,4,1296,1619,104,3,4,1296,1619
성북,103,3,2,790,1176,103,3,2,790,1176
송파,234,15,9,2543,3289,234,15,9,2543,3289
수서,177,15,2,1149,1666,177,15,2,1149,1666
양천,131,7,5,1719,2250,131,7,5,1719,2250
영등포,356,19,13,2341,3593,356,19,13,2341,3593
용산,251,9,4,1489,2384,251,9,4,1489,2384
은평,102,5,2,885,1536,102,5,2,885,1536
종로,137,6,4,952,1291,137,6,4,952,1291
종암,51,5,2,680,932,51,5,2,680,932
중랑,164,14,8,1691,3164,164,14,8,1691,3164
중부,141,3,2,1204,1335,141,3,2,1204,1335
혜화,101,6,2,988,972,101,6,2,988,972
