다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기압
,검색구분 : 월
,지점명 : 전체
,기간 : 2010 ~ 2020  01~12



선텍 전체 통계
일시,평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa)
 2010-01,1023.5,1034.7,1008.7,1026.5,1039.1,1010.8
 2010-02,1020.6,1030.9,1007.8,1023.3,1035.0,1008.9
 2010-03,1020.0,1034.1,999.6,1022.0,1037.0,1002.4
 2010-04,1018.2,1028.6,1006.8,1019.5,1030.3,1007.6
 2010-05,1011.4,1021.4,993.0,1012.5,1024.5,994.6
 2010-06,1010.0,1019.6,1001.6,1011.2,1022.5,1003.1
 2010-07,1008.5,1016.7,997.2,1009.8,1018.3,998.4
 2010-08,1011.0,1021.7,1003.9,1012.3,1022.0,1008.1
 2010-09,1013.7,1021.9,1002.6,1015.1,1025.8,1006.1
 2010-10,1018.4,1030.5,1008.9,1020.9,1034.8,1010.1
 2010-11,1021.5,1032.0,1010.2,1023.2,1034.7,1011.2
 2010-12,1017.6,1029.0,1007.4,1019.7,1032.6,1009.0
 2011-01,1026.4,1038.9,1015.8,1029.1,1042.0,1017.6
 2011-02,1021.2,1032.9,1007.1,1023.9,1036.7,1010.0
 2011-03,1021.8,1029.8,1009.9,1023.5,1033.3,1013.2
 2011-04,1015.1,1028.3,1000.3,1015.9,1031.6,1001.7
 2011-05,1011.7,1019.8,1000.9,1012.9,1021.0,1001.4
 2011-06,1007.6,1015.3,1000.6,1008.9,1017.3,1002.3
 2011-07,1006.8,1014.8,994.8,1008.1,1016.9,995.9
 2011-08,1009.4,1017.8,1002.6,1010.3,1019.1,1004.3
 2011-09,1012.4,1023.1,1000.9,1013.8,1027.0,1004.4
 2011-10,1019.7,1027.7,1007.9,1021.0,1032.5,1008.7
 2011-11,1022.3,1032.5,1005.1,1023.6,1035.2,1007.9
 2011-12,1026.5,1036.4,1013.7,1028.3,1040.0,1017.2
 2012-01,1024.8,1036.5,1015.3,1027.0,1042.1,1017.1
 2012-02,1023.0,1033.0,1009.8,1025.0,1035.5,1012.5
 2012-03,1019.4,1029.6,1005.4,1020.6,1032.1,1007.4
 2012-04,1014.2,1025.2,994.8,1014.8,1027.1,997.7
 2012-05,1011.6,1021.3,1001.2,1012.5,1022.5,1002.9
 2012-06,1008.5,1017.9,998.2,1009.2,1019.7,999.2
 2012-07,1006.6,1015.7,996.1,1007.7,1016.4,1000.2
 2012-08,1009.7,1018.4,999.5,1010.5,1020.2,1001.2
 2012-09,1013.4,1023.4,991.3,1014.4,1026.7,999.6
 2012-10,1018.2,1025.6,1009.3,1019.1,1029.8,1011.5
 2012-11,1019.3,1029.0,1007.4,1020.1,1031.0,1007.9
 2012-12,1023.3,1036.6,1010.6,1025.1,1039.6,1011.8
 2013-01,1025.4,1038.7,1015.5,1027.0,1040.6,1016.7
 2013-02,1023.9,1033.5,1011.8,1025.9,1035.9,1013.1
 2013-03,1017.5,1029.2,1000.2,1019.0,1035.2,1002.5
 2013-04,1013.9,1024.4,998.4,1014.8,1026.5,1001.2
 2013-05,1012.2,1024.4,997.0,1013.2,1025.0,999.5
 2013-06,1008.7,1019.6,995.9,1009.6,1020.1,997.6
 2013-07,1007.4,1463.0,996.2,1008.1,1015.5,999.3
 2013-08,1007.7,1012.9,1000.8,1008.4,1014.2,1001.7
 2013-09,1014.9,1022.0,1005.9,1016.0,1025.0,1008.4
 2013-10,1019.1,1030.5,1006.7,1021.1,1035.1,1009.8
 2013-11,1020.6,1028.5,1002.0,1021.5,1031.9,1003.9
 2013-12,1022.0,1032.4,1006.5,1023.2,1038.2,1008.6
 2014-01,1024.8,1034.5,1012.2,1026.0,1037.4,1014.2
 2014-02,1024.0,1032.2,1007.8,1026.7,1038.4,1009.6
 2014-03,1020.0,1031.6,1003.8,1020.9,1033.3,1006.5
 2014-04,1016.8,1025.2,1006.2,1017.8,1027.5,1009.8
