다중지점통계
[검색조건]
,분류 : 지상
,요소 : 습도
,검색구분 : 월
,지점명 : 전체
,기간 : 2010 ~ 2020  01~12




선텍 전체 통계
일시,평균상대습도(%),최소상대습도(%)
 2010-01,80,44
 2010-02,78,32
 2010-03,78,28
 2010-04,74,28
 2010-05,81,34
 2010-06,85,42
 2010-07,94,62
 2010-08,94,60
 2010-09,89,45
 2010-10,82,36
 2010-11,74,38
 2010-12,77,35
 2011-01,83,41
 2011-02,80,33
 2011-03,70,27
 2011-04,77,24
 2011-05,81,38
 2011-06,89,54
 2011-07,93,63
 2011-08,96,63
 2011-09,85,35
 2011-10,84,45
 2011-11,86,36
 2011-12,76,44
 2012-01,76,33
 2012-02,77,28
 2012-03,74,30
 2012-04,79,21
 2012-05,81,26
 2012-06,93,61
 2012-07,96,68
 2012-08,93,58
 2012-09,89,49
 2012-10,82,39
 2012-11,77,40
 2012-12,84,41
 2013-01,82,41
 2013-02,76,37
 2013-03,77,36
 2013-04,76,33
 2013-05,87,35
 2013-06,91,59
 2013-07,96,65
 2013-08,90,51
 2013-09,91,42
 2013-10,88,41
 2013-11,82,43
 2013-12,83,38
 2014-01,76,33
 2014-02,79,40
 2014-03,80,30
 2014-04,77,22
 2014-05,80,29
 2014-06,91,50
 2014-07,95,59
 2014-08,96,62
 2014-09,88,50
 2014-10,84,38
 2014-11,84,42
 2014-12,85,38
 2015-01,84,48
 2015-02,81,42
 2015-03,75,26
 2015-04,83,22
 2015-05,82,22
 2015-06,95,49
 2015-07,96,66
 2015-08,96,65
 2015-09,91,55
 2015-10,82,45
 2015-11,91,54
 2015-12,84,46
 2016-01,85,42
 2016-02,79,36
 2016-03,77,30
 2016-04,85,25
 2016-05,87,33
 2016-06,96,46
 2016-07,99,86
 2016-08,95,61
 2016-09,97,62
 2016-10,91,50
 2016-11,84,49
 2016-12,82,46
 2017-01,81,45
 2017-02,78,37
 2017-03,77,26
 2017-04,83,24
 2017-05,85,23
 2017-06,93,37
 2017-07,99,76
 2017-08,97,53
 2017-09,97,57
 2017-10,93,44
 2017-11,81,39
 2017-12,80,47
 2018-01,83,45
 2018-02,76,36
 2018-03,94,41
 2018-04,87,23
 2018-05,92,36
 2018-06,91,49
 2018-07,93,61
 2018-08,92,52
 2018-09,89,47
 2018-10,88,41
 2018-11,84,33
 2018-12,77,41
 2019-01,76,48
 2019-02,74,34
 2019-03,75,33
 2019-04,79,23
 2019-05,77,39
 2019-06,90,52
 2019-07,97,56
 2019-08,93,61
 2019-09,93,54
 2019-10,88,43
 2019-11,83,42
 2019-12,81,45
 2020-01,81,49
 2020-02,81,42
 2020-03,73,32
 2020-04,,31
 평균,85,43


