구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
2010,"2,268","2,491","2,571","2,701","3,082","3,094","2,961","2,498","4,908","5,909","4,844","4,161","3,460"
2011,"4,509","4,653","4,036","2,949","1,898","1,684","1,747","2,074","2,629","2,128","1,679","1,617","2,606"
2012,"1,797","2,303","2,086","1,737","2,233","2,956","2,759","2,978","3,924","3,859","3,335","3,425","2,783"
2013,"3,263","3,275","3,160","3,269","3,068","2,584","2,007","2,234","2,579","2,425","2,235","2,355","2,699"
2014,"2,019","2,099","2,011","1,802","1,756","1,788","1,836","2,124","2,333","2,079","1,893","2,424","2,011"
2015,"2,230","2,402","2,591","2,471","2,876","3,591","3,236","3,141","3,174","2,960","2,754","3,324","2,904"
2016,"3,306","4,487","4,000","3,414","3,329","2,935","2,674","2,599","3,313","3,363","3,417","3,775","3,371"
2017,"3,708","3,737","4,069","3,546","2,968","2,702","2,592","3,187","3,475","3,218","2,866","2,948","3,253"
2018,"3,026","3,739","2,966","2,369","2,368","2,469","2,490","3,203","4,816","4,208","3,338","3,238","3,158"
2019,"3,000","2,570","2,202","1,963","2,078","2,773","2,618","2,898","3,090","3,090","2,996","2,877","2,676"
2020,"2,718","2,213","2,077","1,901",-,-,-,-,-,-,-,-,"2,269"
