다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 전체
,기간 : 2010 ~ 2020  01~12





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2010-01,225.7,336.70
 2010-02,154.2,309.92
 2010-03,163.6,412.31
 2010-04,194.5,574.44
 2010-05,233.6,690.68
 2010-06,259.9,683.42
 2010-07,205.0,574.45
 2010-08,276.5,613.50
 2010-09,232.1,615.29
 2010-10,216.4,608.29
 2010-11,245.3,454.68
 2010-12,218.7,441.93
 2011-01,248.4,539.50
 2011-02,197.9,513.38
 2011-03,272.6,742.92
 2011-04,258.4,745.60
 2011-05,205.4,686.25
 2011-06,213.1,654.30
 2011-07,201.1,681.13
 2011-08,152.6,520.98
 2011-09,238.3,618.56
 2011-10,231.6,627.58
 2011-11,162.1,454.25
 2011-12,221.7,530.98
 2012-01,216.7,595.67
 2012-02,231.6,387.94
 2012-03,213.3,476.99
 2012-04,244.3,593.66
 2012-05,268.0,698.99
 2012-06,253.2,672.74
 2012-07,221.4,580.38
 2012-08,218.5,633.44
 2012-09,226.2,528.09
 2012-10,264.4,503.96
 2012-11,213.4,323.61
 2012-12,196.9,284.54
 2013-01,226.6,331.17
 2013-02,209.8,369.35
 2013-03,271.8,571.04
 2013-04,252.0,600.03
 2013-05,275.2,731.37
 2013-06,248.7,658.11
 2013-07,247.1,658.01
 2013-08,286.5,662.33
 2013-09,228.0,517.58
 2013-10,264.9,476.96
 2013-11,242.4,437.88
 2013-12,223.8,465.21
 2014-01,250.4,576.59
 2014-02,182.1,550.14
 2014-03,231.7,701.74
 2014-04,231.7,741.01
 2014-05,316.2,956.35
 2014-06,229.0,621.10
 2014-07,251.3,601.46
 2014-08,237.5,443.92
 2014-09,245.3,526.59
 2014-10,247.2,531.11
 2014-11,211.2,376.24
 2014-12,237.5,468.63
 2015-01,219.5,511.18
 2015-02,212.9,528.67
 2015-03,296.0,790.61
 2015-04,247.5,507.89
 2015-05,329.3,769.22
 2015-06,275.9,643.91
 2015-07,217.8,593.93
 2015-08,246.5,598.80
 2015-09,268.2,553.04
 2015-10,280.2,490.13
 2015-11,134.4,249.99
 2015-12,192.7,281.42
 2016-01,232.8,380.33
 2016-02,231.5,425.09
 2016-03,253.7,581.20
 2016-04,252.7,604.68
 2016-05,321.3,759.29
 2016-06,305.8,643.42
 2016-07,342.8,650.96
 2016-08,301.4,724.95
 2016-09,221.0,447.81
 2016-10,195.7,381.67
 2016-11,211.6,329.63
 2016-12,228.8,305.05
 2017-01,241.8,404.58
 2017-02,241.8,440.64
 2017-03,260.1,568.80
 2017-04,286.0,660.22
 2017-05,314.0,761.27
 2017-06,304.3,730.94
 2017-07,208.8,617.20
 2017-08,271.4,619.22
 2017-09,256.1,555.44
 2017-10,222.7,432.70
 2017-11,250.1,375.95
 2017-12,252.0,329.31
 2018-01,238.3,345.92
 2018-02,239.6,401.90
 2018-03,243.7,498.56
 2018-04,268.4,604.79
 2018-05,265.0,665.57
 2018-06,267.3,683.76
 2018-07,287.3,711.72
 2018-08,297.6,660.12
 2018-09,220.6,526.42
 2018-10,257.2,469.54
 2018-11,214.0,339.45
 2018-12,217.8,395.91
 2019-01,240.6,478.12
 2019-02,219.1,460.95
 2019-03,257.7,576.19
 2019-04,236.5,576.52
 2019-05,340.0,784.83
 2019-06,284.6,698.73
 2019-07,217.5,568.86
 2019-08,278.8,656.40
 2019-09,201.4,468.31
 2019-10,242.6,550.39
 2019-11,216.1,414.75
 2019-12,214.3,375.17
 2020-01,194.6,283.59
 2020-02,216.5,384.20
 2020-03,273.6,581.49
 2020-04,156.7,346.27
 평균,240.2,542.28

