다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 전체
,기간 : 2010 ~ 2020  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2010-01,-1.6,3.6,-6.4,182.9
 2010-02,2.4,7.1,-1.8,157.5
 2010-03,5.4,9.8,1.2,259.3
 2010-04,9.7,15.2,4.5,324.8
 2010-05,16.9,22.6,11.5,269.0
 2010-06,22.0,27.6,17.3,387.0
 2010-07,25.2,29.3,22.1,580.6
 2010-08,26.7,30.9,23.7,726.5
 2010-09,21.7,26.8,17.9,671.5
 2010-10,14.5,20.4,9.7,146.5
 2010-11,7.0,13.5,1.4,31.2
 2010-12,1.0,6.4,-3.8,184.9
 2011-01,-4.6,0.6,-9.6,321.1
 2011-02,1.9,7.9,-3.1,180.3
 2011-03,4.6,10.3,-0.8,93.8
 2011-04,11.1,17.2,5.1,214.5
 2011-05,17.1,22.5,12.1,249.6
 2011-06,21.7,26.8,17.4,584.5
 2011-07,24.9,28.8,22.0,1223.5
 2011-08,25.0,29.0,22.1,660.5
 2011-09,20.9,26.2,16.7,320.9
 2011-10,13.8,20.1,8.6,149.8
 2011-11,11.0,16.0,6.8,432.5
 2011-12,0.9,5.6,-3.4,169.8
 2012-01,-1.0,3.9,-5.4,189.8
 2012-02,-0.6,4.7,-5.5,109.1
 2012-03,5.7,10.6,1.0,201.5
 2012-04,12.5,18.6,6.6,516.5
 2012-05,18.1,24.3,12.8,144.0
 2012-06,21.9,26.9,17.8,208.8
 2012-07,25.3,29.5,21.9,572.3
 2012-08,26.2,30.5,22.9,926.7
 2012-09,20.1,25.1,16.1,563.0
 2012-10,14.3,20.9,8.9,146.5
 2012-11,6.7,11.8,2.1,189.3
 2012-12,-1.4,3.3,-5.6,213.4
 2013-01,-1.8,3.4,-6.5,90.0
 2013-02,0.8,5.9,-4.0,176.5
 2013-03,6.6,13.4,0.4,128.5
 2013-04,10.2,16.2,4.4,169.9
 2013-05,17.6,23.9,11.9,302.0
 2013-06,22.3,27.3,18.4,229.9
 2013-07,26.1,29.9,23.1,1009.2
 2013-08,27.1,32.1,23.3,301.5
 2013-09,21.1,26.3,16.9,320.0
 2013-10,15.4,21.5,10.4,248.8
 2013-11,7.2,12.6,2.4,145.9
 2013-12,1.6,6.5,-2.8,155.4
 2014-01,0.6,6.4,-4.6,155.1
 2014-02,2.6,7.8,-2.0,215.7
 2014-03,7.6,13.3,2.1,222.5
 2014-04,13.2,19.6,7.4,247.5
 2014-05,18.1,24.7,12.0,276.0
 2014-06,21.5,26.4,17.7,300.9
 2014-07,24.8,29.4,21.2,435.0
 2014-08,23.6,27.5,20.7,872.2
 2014-09,20.8,26.3,16.4,224.4
 2014-10,14.8,21.1,9.6,203.9
 2014-11,8.9,14.5,4.2,114.6
 2014-12,-0.2,4.6,-4.7,135.9
 2015-01,0.7,5.7,-3.7,154.0
 2015-02,2.1,7.3,-2.4,180.7
 2015-03,6.7,13.3,0.6,189.9
 2015-04,12.6,18.4,7.3,367.2
 2015-05,18.3,24.9,12.1,426.5
 2015-06,21.4,26.7,16.9,271.5
 2015-07,24.1,28.5,20.8,458.0
 2015-08,25.0,30.0,21.2,308.2
 2015-09,20.3,26.0,15.6,295.1
 2015-10,14.9,21.5,9.6,149.5
 2015-11,10.2,14.2,6.7,463.5
 2015-12,3.7,8.3,-0.4,112.7
 2016-01,-0.7,4.0,-4.9,167.8
 2016-02,1.9,7.1,-2.9,143.4
 2016-03,7.2,13.2,1.7,206.7
 2016-04,13.7,20.0,8.1,410.5
 2016-05,18.4,24.8,12.3,216.6
 2016-06,22.0,27.0,17.9,281.2
 2016-07,25.2,29.6,21.9,617.1
 2016-08,26.5,31.8,22.3,491.3
 2016-09,21.5,26.0,18.0,588.8
 2016-10,15.8,20.7,12.0,433.6
 2016-11,8.0,13.4,3.2,189.2
 2016-12,3.2,8.4,-1.4,237.0
 2017-01,0.3,5.6,-4.5,121.3
 2017-02,1.7,7.4,-3.6,237.5
 2017-03,6.2,12.5,0.5,70.1
 2017-04,13.7,20.1,7.6,222.5
 2017-05,18.5,25.1,12.3,101.5
 2017-06,21.5,27.6,16.4,274.7
 2017-07,26.3,30.4,23.1,789.1
 2017-08,25.3,29.9,21.8,506.3
 2017-09,20.5,26.2,15.7,410.5
 2017-10,15.3,20.8,10.8,389.1
 2017-11,6.9,13.0,1.4,88.9
 2017-12,0.0,5.1,-4.8,106.2
 2018-01,-1.9,3.1,-6.2,102.4
 2018-02,-0.1,5.7,-5.5,128.6
 2018-03,8.0,14.1,2.4,294.0
 2018-04,13.2,19.4,7.2,312.0
 2018-05,17.6,23.1,12.5,356.1
 2018-06,21.9,27.5,17.3,390.7
 2018-07,26.6,31.4,22.6,324.9
