기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 부여
기간 : 20150101~20200416

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2015-01-01,236,-4.9,-7.2,-2.3
2015-01-02,236,-5.9,-12,-0.4
2015-01-03,236,-4.9,-14.2,3.2
2015-01-04,236,0.7,-3.8,10
2015-01-05,236,2.1,-2.8,6.9
2015-01-06,236,0.5,-4.4,5
2015-01-07,236,-4,-8.3,2.1
2015-01-08,236,-3.8,-9.7,4.2
2015-01-09,236,-2.3,-6.9,3.1
2015-01-10,236,-1.4,-7.9,7.3
2015-01-11,236,-0.3,-4.2,5.3
2015-01-12,236,-3,-8.1,4.3
2015-01-13,236,-0.7,-7.6,7.3
2015-01-14,236,2.1,-1,5.5
2015-01-15,236,1.4,-2.8,8.5
2015-01-16,236,0.6,-4.1,3.7
2015-01-17,236,-1.5,-6.3,2.7
2015-01-18,236,-1.4,-8.8,4.5
2015-01-19,236,1.7,-3.3,5.8
2015-01-20,236,-0.7,-6.1,6.3
2015-01-21,236,1.8,-2,5.4
2015-01-22,236,2.9,-0.9,7.7
2015-01-23,236,-0.2,-3.4,6.4
2015-01-24,236,1.8,-2.4,8.7
2015-01-25,236,2.9,-2.2,8.4
2015-01-26,236,5.1,2.9,7.9
2015-01-27,236,-0.8,-6.4,3
2015-01-28,236,-3.2,-8,3.2
2015-01-29,236,-0.4,-4.5,2.2
2015-01-30,236,-0.8,-4.1,3.2
2015-01-31,236,-3.7,-9,3.3
2015-02-01,236,-3.1,-9.8,5.3
2015-02-02,236,-0.9,-5.8,7.5
2015-02-03,236,-0.5,-6.6,7.2
2015-02-04,236,-1.6,-5.6,3.8
2015-02-05,236,-1.7,-6.8,5.5
2015-02-06,236,-0.6,-6.3,7.2
2015-02-07,236,0.8,-4.3,6.3
2015-02-08,236,-5.8,-7.9,1.4
2015-02-09,236,-5.3,-12.2,1.1
2015-02-10,236,3,-3.6,8.4
2015-02-11,236,2.9,-2.6,9.4
2015-02-12,236,-0.4,-5.7,4.5
2015-02-13,236,-2.4,-9,5.2
2015-02-14,236,0.4,-6.9,9.4
2015-02-15,236,6,-2.2,11.8
2015-02-16,236,4.9,4.5,6.1
2015-02-17,236,3.2,2,5.5
2015-02-18,236,2.2,1.3,3.8
2015-02-19,236,2.2,-3.4,9
2015-02-20,236,4.2,-4.5,10.7
2015-02-21,236,5.8,3.5,6.6
2015-02-22,236,5.2,1,9.1
2015-02-23,236,2.5,-1.2,8.5
2015-02-24,236,2.4,-2.6,10
2015-02-25,236,4.4,-1.8,11.2
2015-02-26,236,3.2,-0.9,6.9
2015-02-27,236,-0.3,-2.9,3.9
2015-02-28,236,1.7,-4.6,6.2
2015-03-01,236,2.7,-2.1,6.7
2015-03-02,236,2,-5.7,10.3
2015-03-03,236,3.7,0.1,10.1
2015-03-04,236,-0.4,-4,3.9
2015-03-05,236,-0.2,-7.6,7.3
2015-03-06,236,2.1,-5.9,10.8
2015-03-07,236,3,-5.6,12.4
2015-03-08,236,6.3,-3.4,16
2015-03-09,236,3.6,-3.6,10.2
2015-03-10,236,-1.4,-4.7,2.3
2015-03-11,236,1.7,-5.3,7.5
2015-03-12,236,1.8,-6.9,9.2
2015-03-13,236,5.7,-2.1,12.4
