구분,,01월 02일,01월 05일,01월 06일,01월 07일,01월 08일,01월 09일,01월 12일,01월 13일,01월 14일,01월 15일,01월 16일,01월 19일,01월 20일,01월 21일,01월 22일,01월 23일,01월 26일,01월 27일,01월 28일,01월 29일,01월 30일,02월 02일,02월 03일,02월 04일,02월 05일,02월 06일,02월 09일,02월 10일,02월 11일,02월 12일,02월 13일,02월 16일,02월 17일,02월 23일,02월 24일,02월 25일,02월 26일,02월 27일,03월 02일,03월 03일,03월 04일,03월 05일,03월 06일,03월 09일,03월 10일,03월 11일,03월 12일,03월 13일,03월 16일,03월 17일,03월 18일,03월 19일,03월 20일,03월 23일,03월 24일,03월 25일,03월 26일,03월 27일,03월 30일,03월 31일,04월 01일,04월 02일,04월 03일,04월 06일,04월 07일,04월 08일,04월 09일,04월 10일,04월 13일,04월 14일,04월 15일,04월 16일,04월 17일,04월 20일,04월 21일,04월 22일,04월 23일,04월 24일,04월 27일,04월 28일,04월 29일,04월 30일,05월 04일,05월 06일,05월 07일,05월 08일,05월 11일,05월 12일,05월 13일,05월 14일,05월 15일,05월 18일,05월 19일,05월 20일,05월 21일,05월 22일,05월 26일,05월 27일,05월 28일,05월 29일,06월 01일,06월 02일,06월 03일,06월 04일,06월 05일,06월 08일,06월 09일,06월 10일,06월 11일,06월 12일,06월 15일,06월 16일,06월 17일,06월 18일,06월 19일,06월 22일,06월 23일,06월 24일,06월 25일,06월 26일,06월 29일,06월 30일,07월 01일,07월 02일,07월 03일,07월 06일,07월 07일,07월 08일,07월 09일,07월 10일,07월 13일,07월 14일,07월 15일,07월 16일,07월 17일,07월 20일,07월 21일,07월 22일,07월 23일,07월 24일,07월 27일,07월 28일,07월 29일,07월 30일,07월 31일,08월 03일,08월 04일,08월 05일,08월 06일,08월 07일,08월 10일,08월 11일,08월 12일,08월 13일,08월 17일,08월 18일,08월 19일,08월 20일,08월 21일,08월 24일,08월 25일,08월 26일,08월 27일,08월 28일,08월 31일,09월 01일,09월 02일,09월 03일,09월 04일,09월 07일,09월 08일,09월 09일,09월 10일,09월 11일,09월 14일,09월 15일,09월 16일,09월 17일,09월 18일,09월 21일,09월 22일,09월 23일,09월 24일,09월 25일,09월 30일,10월 01일,10월 02일,10월 05일,10월 06일,10월 07일,10월 08일,10월 12일,10월 13일,10월 14일,10월 15일,10월 16일,10월 19일,10월 20일,10월 21일,10월 22일,10월 23일,10월 26일,10월 27일,10월 28일,10월 29일,10월 30일,11월 02일,11월 03일,11월 04일,11월 05일,11월 06일,11월 09일,11월 10일,11월 11일,11월 12일,11월 13일,11월 16일,11월 17일,11월 18일,11월 19일,11월 20일,11월 23일,11월 24일,11월 25일,11월 26일,11월 27일,11월 30일,12월 01일,12월 02일,12월 03일,12월 07일,12월 08일,12월 09일,12월 10일,12월 11일,12월 14일,12월 15일,12월 16일,12월 17일,12월 18일,12월 21일,12월 22일,12월 23일,12월 24일,12월 28일,12월 29일,12월 30일,12월 31일
평균,,"6,354","6,379","6,379","6,381","6,494","6,491","6,469","6,459","6,459","6,566","6,566","6,556","6,544","6,563","6,584","6,581","6,676","6,664","6,697","7,072","7,069","7,014","7,046","7,150","7,170","7,180","7,256","7,205","7,213","7,241","7,225","7,149","7,163","7,032","6,947","6,766","6,461","6,237","6,238","6,195","6,195","6,368","6,307","6,261","6,264","6,257","6,002","5,949","6,083","6,110","5,963","5,778","5,712","5,642","5,743","5,756","6,000","5,969","6,069","6,075","6,075","6,866","6,835","6,768","6,763","6,806","6,423","6,301","6,326","6,371","6,326","6,484","6,478","6,482","6,472","6,511","6,570","6,637","6,644","6,651","6,629","6,528","6,452","6,465","6,266","6,194","6,088","6,143","6,184","6,184","6,184","6,432","6,409","6,420","5,937","5,937","5,854","5,830","5,968","5,955","5,973","5,973","5,964","5,599","5,556","5,587","5,531","5,515","5,308","5,251","5,241","5,223","5,245","5,305","5,283","5,348","5,338","5,303","5,312","5,185","5,212","5,182","5,141","4,932","4,872","4,838","4,838","4,822","4,660","4,680","4,712","4,732","4,674","4,836","4,938","4,920","4,842","4,810","5,103","5,106","5,126","5,135","5,173","4,971","4,971","4,978","5,000","5,032","5,204","5,250","5,197","5,258","5,393","5,322","5,325","5,266","5,325","5,301","5,325","5,345","5,333","5,342","5,231","5,210","5,287","5,287","5,298","5,075","5,040","5,102","5,108","5,113","5,140","5,172","5,203","5,241","5,238","5,053","5,246","5,284","5,316","5,362","5,325","5,375","5,375","5,318","5,318","5,305","5,305","5,298","5,116","5,132","5,132","5,124","5,191","5,162","5,233","5,233","5,187","4,925","4,928","4,981","4,948","4,970","4,718","4,629","4,706","4,690","4,666","4,495","4,355","4,052","3,973","3,934","3,895","3,882","3,929","3,919","3,919","4,125","4,125","4,122","4,121","4,067","3,971","3,980","3,988","3,961","3,961","3,886","3,840","3,840","3,840","4,683","4,649","4,790","4,846","4,869","5,061","5,061","4,993","4,993","5,003","5,075","5,153","5,149","5,071","5,585"
평년,,"7,713","7,645","7,611","7,576","7,535","7,495","7,334","7,324","7,321","7,272","7,254","7,189","7,163","7,134","7,123","7,117","7,081","7,058","7,019","7,012","7,039","7,069","6,950","6,909","6,892","6,895","6,807","6,789","6,753","6,720","6,729","6,755","6,748","6,644","6,689","6,720","6,718","6,730","6,765","6,774","6,751","6,719","6,734","6,793","6,792","6,777","6,771","6,763","6,681","6,675","6,701","6,736","6,771","6,813","6,804","6,781","6,743","6,715","6,655","6,613","6,637","6,685","6,707","6,897","6,963","6,972","6,948","6,906","6,610","6,527","6,435","6,351","6,335","6,268","6,235","6,243","6,257","6,260","6,319","6,389","6,428","6,446","6,382","6,374","6,336","6,318","6,174","6,117","5,988","5,850","5,709","5,443","5,377","5,348","5,295","5,269","5,264","5,261","5,240","5,222","5,051","5,011","4,961","4,920","4,914","4,871","4,822","4,792","4,763","4,720","4,655","4,642","4,651","4,645","4,619","4,618","4,621","4,612","4,601","4,580","4,512","4,468","4,446","4,412","4,358","4,290","4,288","4,300","4,313","4,307","4,253","4,241","4,229","4,217","4,225","4,255","4,288","4,352","4,420","4,480","4,647","4,690","4,726","4,770","4,812","4,963","4,959","4,967","5,003","5,042","5,149","5,152","5,195","5,234","5,376","5,403","5,454","5,486","5,503","5,675","5,772","5,842","5,918","6,037","6,369","6,466","6,547","6,604","6,595","6,683","6,751","6,822","6,908","7,002","7,186","7,213","7,191","7,223","7,249","7,250","7,243","7,221","7,173","7,155","6,977","6,958","6,937","7,090","7,270","7,377","7,467","7,284","7,272","7,343","7,422","7,512","7,796","7,799","7,739","7,662","7,592","7,308","7,235","7,163","7,068","6,978","6,684","6,624","6,573","6,498","6,455","6,240","6,237","6,174","6,123","6,104","5,985","5,980","5,955","5,948","5,955","6,003","6,034","6,054","6,071","6,051","6,007","5,990","6,029","6,032","6,099","6,143","6,150","6,176","6,226","6,394","6,426","6,438","6,536","6,641","6,935","7,045","7,126","7,203","7,456","7,486","7,532","7,571"
서울,경동,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,복조리,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830","5,830",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,500","6,500","6,500","6,500","6,500","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,300","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","6,100","5,660","5,660","5,660","5,660","5,660","5,660","5,660","5,660","5,660","5,660","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,영등포,"5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","6,500","6,500","6,500","6,500","6,500","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","7,250","7,500","7,500","7,500","7,500","7,500","7,500","7,500","7,500","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","5,250","5,250","5,250","5,250","5,250","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","4,250","4,250","4,250","4,250","4,250","4,250","4,250","4,250","4,250","4,750","4,750","4,750","4,750","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","3,750","3,750","3,750","3,750","3,750","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","5,000"
,A-유통,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,330","8,330","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","8,670","8,670","5,930","5,930","8,670","8,670","8,670","8,670","8,670","8,670","8,670","8,670","8,670","8,670","8,330","8,330","8,330","8,330","8,330","8,330","8,330","8,330","8,330","8,330","7,000","7,000","7,000","5,900","5,900","5,900","5,900","5,900","5,500","5,500","4,900","4,900","4,900","4,800","4,800","4,800","4,800","4,800","7,500","7,500","6,300","6,300","6,300","6,000","6,000","6,000","6,000","6,000","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","10,000","10,000","6,400","6,400","6,400","6,400","6,400","6,400","6,400","7,870","7,870","7,870","5,870","5,870","5,870","5,870","6,000","6,000","6,000","6,000","6,000","5,870","5,870","5,870","5,870","5,870","6,130","6,130","6,130","6,130","6,130","6,000","6,000","6,000","6,000","6,000","6,400","6,400","6,400","6,400","6,400","6,600","6,600","6,600","6,600","6,600","5,070","5,070","5,070","5,070","5,070","5,070","5,070","5,070","5,070","5,070","5,070","5,670","5,670","5,670","5,670","5,670","5,670","5,670","5,670","5,670","5,670","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","3,250","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,560","5,560","5,560","5,560","5,560","5,560","5,560","5,560","5,560","5,560","5,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,560","3,670","3,670","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
,B-유통,"5,950","6,450","6,450","6,450","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","6,400","6,400","6,400","7,400","7,400","7,400","7,400","7,400","7,400","7,400","7,400","7,400","7,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","4,900","4,900","4,900","4,900","4,900","4,900","4,900","4,250","4,900","4,450","4,450","5,400","5,400","5,400","5,400","4,750","4,750","4,750","6,700","6,700","6,700","4,950","4,950","4,950","4,950","4,950","4,950","4,950","5,500","5,500","5,500","7,750","5,450","7,750","7,750","7,750","7,750","5,450","5,950","5,950","5,950","5,150","5,150","5,150","5,150","5,150","5,950","5,950","5,950","7,800","7,800","5,600","5,600","5,600","5,600","5,600","5,600","4,950","4,950","4,950","4,950","5,400","5,400","5,400","5,400","5,400","5,400","5,400","5,400","5,400","5,400","4,950","4,950","4,950","4,950","4,950","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","3,800","5,000","5,000","5,000","5,000","7,000","7,000",-,-,-,-,-,-,-,-,-,-,-,-,"4,800",-,-,-,-,-,-,"3,500",-,"3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500",-,"5,800","5,800","5,800","5,800","5,800","5,800","5,800","5,800","5,800",-,-,-,-,-,-,-,-,"4,450","4,450",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,650","3,650","3,650","3,650","3,650","3,650",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,C-유통,"6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,600","6,640","6,640","6,640","6,640","6,640","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,110","6,110","6,110","6,640","6,640","6,640","6,640","6,640","6,640","6,640","5,470","5,470","5,470","6,930","6,930","6,930","6,930","6,930","7,040","7,040","7,040","7,040","7,040","7,330","7,330","7,330","7,330","7,330","7,600","7,600","7,600","7,600","7,600","7,330","7,330","7,330","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,400","6,530","6,530","6,530","6,530","6,530","5,710","5,710","5,710","5,710","5,710","5,310","5,310","5,310","5,310","5,310","5,310","5,310","4,930","4,930","4,930","5,070","5,070","5,070","5,070","5,070","4,400","4,400","4,400","4,400","4,400","4,640","4,640","4,640","4,640","4,640","4,640","5,070","5,070","5,070","5,070","5,310","5,310","5,310","5,310","5,310","4,640","4,640","4,640","4,640","4,640","5,700","6,370","6,370","6,370","6,370","6,370","6,370","6,370","6,370","6,510","6,510","6,510","6,510","6,510","5,040","5,040","5,040","5,040","5,040","3,970","3,970","3,970","3,970","3,970","5,310","5,310","5,310","5,310","5,310","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","5,700","4,370","4,370","4,370","4,370","4,370","3,970","3,970","3,970","3,970","3,970","3,710","3,710","3,710","3,710","3,710","3,710","3,710","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","4,370","6,370","6,370","4,640","4,640","4,640","5,170","5,170","5,170","5,170","5,170",-,"4,770","4,770","4,770","7,710"
,E-유통,"7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,990","7,990","7,990","7,990","7,990","7,900","7,900","7,900","7,900","7,900","7,900","5,900","4,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","6,900","6,900","6,900","5,900","5,900","5,900","5,900","5,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","7,500","7,500","5,900","5,900","5,900","6,800","5,900","6,800","6,900","6,900","5,000","5,000","6,900","6,900","6,900","6,500","6,500","6,500","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","5,900","5,900","5,900","5,900","5,900","5,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","4,900","4,900","4,900","3,900","3,900","3,900","3,900","3,900","4,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","6,500","6,500","6,500","6,500","6,500","5,900","5,900","5,900","5,900","5,900","6,900","6,900","6,900","6,900","6,900","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","7,730","7,730","7,730","7,730","7,730","6,000","4,660","6,000","5,200","5,200","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","6,900","6,900","6,000","6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"5,200","5,200","5,200","5,200","4,800","4,800","4,800","4,800","4,800","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","4,660","4,660","3,860","3,860","3,860","3,860","5,330","5,330","5,330","5,330","5,330","6,530","6,530","6,530","6,530","6,530","6,640","6,640","6,640","6,640","6,660"
,F-유통,"8,000","8,000","8,000","8,000","8,000","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","8,000","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,990","7,990","7,990","7,900","7,900","7,900","7,900","7,900","7,900","5,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","6,900","6,900","6,900","6,900","5,900","5,900","5,900","5,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","7,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","7,500","7,500","7,500","7,500","7,500","6,800","5,900","5,900","6,900","6,900","6,900","6,900","6,900","6,900","6,900","6,500","6,500","6,500","5,900","5,900","5,900","5,900","6,900","6,900","6,900","6,900","6,900","5,900","5,900","5,900","5,900","5,900","4,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","5,900","4,500","5,900","5,900","5,900","5,900","5,900","5,900","5,900","5,900","4,900","4,900","4,900","4,900","4,900","5,900","5,900","5,900","5,900","5,900","6,500","6,500","6,500","6,500","6,500","5,900","5,900","5,900","5,900","5,900","6,900","6,900","6,900","6,900","6,900","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","7,730","7,730","7,730","7,730","7,730","6,000","4,500","6,000","6,000","6,000","5,900","5,900","5,900","5,900","5,900","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,330","5,330","5,330","5,330","5,570","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","4,800","4,800","4,800","4,800","4,800","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","4,660","4,660","3,860","3,860","3,860","3,860","5,330","5,330","5,330","5,330","5,330","6,530","6,530","6,530","6,530","6,530","6,640","6,640","6,640","6,640","6,660"
