구분,,01월 04일,01월 05일,01월 06일,01월 07일,01월 08일,01월 11일,01월 12일,01월 13일,01월 14일,01월 15일,01월 18일,01월 19일,01월 20일,01월 21일,01월 22일,01월 25일,01월 26일,01월 27일,01월 28일,01월 29일,02월 01일,02월 02일,02월 03일,02월 04일,02월 05일,02월 11일,02월 12일,02월 15일,02월 16일,02월 17일,02월 18일,02월 19일,02월 22일,02월 23일,02월 24일,02월 25일,02월 26일,02월 29일,03월 02일,03월 03일,03월 04일,03월 07일,03월 08일,03월 09일,03월 10일,03월 11일,03월 14일,03월 15일,03월 16일,03월 17일,03월 18일,03월 21일,03월 22일,03월 23일,03월 24일,03월 25일,03월 28일,03월 29일,03월 30일,03월 31일,04월 01일,04월 04일,04월 05일,04월 06일,04월 07일,04월 08일,04월 11일,04월 12일,04월 14일,04월 15일,04월 18일,04월 19일,04월 20일,04월 21일,04월 22일,04월 25일,04월 26일,04월 27일,04월 28일,04월 29일,05월 02일,05월 03일,05월 04일,05월 09일,05월 10일,05월 11일,05월 12일,05월 13일,05월 16일,05월 17일,05월 18일,05월 19일,05월 20일,05월 23일,05월 24일,05월 25일,05월 26일,05월 27일,05월 30일,05월 31일,06월 01일,06월 02일,06월 03일,06월 07일,06월 08일,06월 09일,06월 10일,06월 13일,06월 14일,06월 15일,06월 16일,06월 17일,06월 20일,06월 21일,06월 22일,06월 23일,06월 24일,06월 27일,06월 28일,06월 29일,06월 30일,07월 01일,07월 04일,07월 05일,07월 06일,07월 07일,07월 08일,07월 11일,07월 12일,07월 13일,07월 14일,07월 15일,07월 18일,07월 19일,07월 20일,07월 21일,07월 22일,07월 25일,07월 26일,07월 27일,07월 28일,07월 29일,08월 01일,08월 02일,08월 03일,08월 04일,08월 05일,08월 08일,08월 09일,08월 10일,08월 11일,08월 12일,08월 16일,08월 17일,08월 18일,08월 19일,08월 22일,08월 23일,08월 24일,08월 25일,08월 26일,08월 29일,08월 30일,08월 31일,09월 01일,09월 02일,09월 05일,09월 06일,09월 07일,09월 08일,09월 09일,09월 12일,09월 13일,09월 19일,09월 20일,09월 21일,09월 22일,09월 23일,09월 26일,09월 27일,09월 28일,09월 29일,09월 30일,10월 04일,10월 05일,10월 06일,10월 07일,10월 10일,10월 11일,10월 12일,10월 13일,10월 14일,10월 17일,10월 18일,10월 19일,10월 20일,10월 21일,10월 24일,10월 25일,10월 26일,10월 27일,10월 28일,10월 31일,11월 01일,11월 02일,11월 03일,11월 04일,11월 07일,11월 08일,11월 09일,11월 10일,11월 11일,11월 14일,11월 15일,11월 16일,11월 17일,11월 18일,11월 21일,11월 22일,11월 23일,11월 24일,11월 25일,11월 28일,11월 29일,11월 30일,12월 01일,12월 05일,12월 06일,12월 07일,12월 08일,12월 09일,12월 12일,12월 13일,12월 14일,12월 15일,12월 16일,12월 19일,12월 20일,12월 21일,12월 22일,12월 23일,12월 26일,12월 27일,12월 28일,12월 29일,12월 30일
평균,,"5,673","5,669","5,685","6,610","6,842","6,842","6,824","6,824","6,358","6,358","6,352","6,206","6,206","6,233","6,304","6,320","6,353","6,353","7,223","7,214","7,315","7,349","7,459","8,362","8,439","7,696","7,696","7,785","7,785","7,861","7,322","7,354","7,370","7,202","7,158","7,103","7,041","7,181","7,129","7,721","8,338","8,542","8,635","8,682","9,594","9,722","9,867","9,867","9,793","8,878","8,960","9,113","9,113","9,056","7,613","7,604","7,475","7,389","7,452","6,927","6,923","6,839","6,786","6,717","6,373","6,254","6,197","6,342","6,358","6,358","6,376","6,320","6,299","6,158","6,077","6,121","6,121","6,106","5,898","5,898","5,861","5,788","5,706","5,657","5,634","5,583","5,684","5,595","5,491","5,495","5,495","5,150","5,119","5,108","5,108","5,108","4,900","4,904","4,904","4,906","4,865","4,645","4,574","4,495","4,506","4,266","4,236","4,257","4,228","4,228","4,077","4,033","4,008","4,008","4,046","4,035","3,995","3,995","3,913","3,903","4,145","4,128","4,192","4,216","4,213","4,298","4,303","4,286","4,286","4,338","4,629","4,631","4,922","4,990","4,956","5,310","5,319","5,394","5,394","5,472","5,357","5,357","5,380","5,398","5,434","5,130","5,148","5,153","5,153","5,181","5,450","5,509","5,449","5,503","5,625","5,716","5,716","5,715","5,715","5,750","5,705","5,722","5,739","5,820","5,934","5,919","6,020","6,058","6,351","6,588","6,980","7,431","7,513","7,609","7,884","7,903","6,651","6,321","6,388","6,459","6,374","6,016","6,059","6,119","6,290","8,354","8,354","8,630","8,647","8,647","8,778","8,778","8,778","8,778","8,778","8,366","8,532","8,549","8,663","8,646","9,190","9,181","9,209","9,261","9,308","7,975","7,934","7,918","7,933","7,933","7,558","7,437","7,454","7,392","7,365","7,928","7,986","7,954","7,954","7,954","7,525","7,509","7,509","7,509","7,509","5,972","5,894","5,909","5,924","7,825","7,856","7,916","7,932","7,916","9,399","9,486","9,527","9,726","9,711","9,859","9,874","9,890","9,911","9,895","10,348","10,258"
평년,,"7,560","7,531","7,515","7,476","7,431","7,288","7,256","7,251","7,247","7,209","7,185","7,158","7,137","7,113","7,113","7,107","7,101","7,120","7,124","7,138","7,286","7,295","7,204","7,188","7,195","7,047","7,003","7,005","7,005","7,002","6,981","6,949","6,926","6,938","6,943","6,931","6,909","7,965","6,869","6,850","6,819","6,804","6,814","6,836","6,804","6,770","6,706","6,677","6,655","6,641","6,647","6,674","6,683","6,686","6,687","6,685","6,695","6,683","6,671","6,676","6,738","6,943","6,996","7,053","7,075","7,035","6,787","6,642","6,399","6,295","6,179","6,148","6,128","6,114","6,141","6,247","6,263","6,259","6,338","6,361","6,342","6,303","6,241","6,075","6,040","6,030","6,029","5,986","5,782","5,681","5,630","5,563","5,522","5,378","5,371","5,351","5,357","5,337","5,241","5,155","5,115","5,050","4,979","4,863","4,850","4,813","4,802","4,698","4,712","4,733","4,749","4,779","4,789","4,791","4,796","4,798","4,792","4,750","4,747","4,732","4,692","4,673","4,552","4,529","4,521","4,494","4,503","4,469","4,448","4,415","4,402","4,382","4,353","4,375","4,418","4,462","4,519","4,669","4,724","4,774","4,785","4,798","4,885","4,946","5,016","5,043","5,090","5,262","5,302","5,336","5,350","5,394","5,523","5,554","5,573","5,603","5,698","5,736","5,788","5,846","5,864","6,091","6,212","6,298","6,357","6,399","6,325","6,367","6,400","6,415","6,458","6,637","6,694","6,882","6,877","6,892","6,881","6,850","6,774","6,727","6,671","6,668","6,651","6,655","6,695","6,807","6,797","6,657","6,589","6,518","6,471","6,532","6,824","6,934","7,041","7,082","7,071","7,026","6,886","6,824","6,758","6,705","6,496","6,378","6,273","6,198","6,131","5,982","5,893","5,752","5,648","5,540","5,386","5,324","5,275","5,257","5,225","5,236","5,249","5,270","5,284","5,288","5,238","5,242","5,242","5,231","5,365","5,431","5,450","5,506","5,557","5,741","5,790","5,826","5,846","5,866","6,060","6,156","6,265","6,388","6,486","6,677","6,767","6,825","6,879","6,961"
서울,경동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,500","7,500","7,500","7,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,영등포,"5,000","5,000","5,000","5,000","6,000","6,000","6,500","6,500","6,500","6,500","6,500","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,500","7,500","7,500","7,000","7,000","7,500","7,500","7,500","7,500","7,000","7,000","7,000","7,000","7,000","6,500","6,200","6,200","6,200","7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","8,250","8,250","8,250","8,250","8,250","8,250","8,250","7,500","6,800","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,000","6,000","6,000","6,000","6,250","6,250","6,250","6,250","6,250","6,250","6,250","6,000","5,500","5,500","5,000","4,000","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,500","6,500","6,500","6,500","6,500","6,500","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","5,500","5,000","5,000","5,000","5,000","5,000","5,000","6,500","7,500","7,500","7,500","7,500","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,000","6,000","6,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000"
,A-유통,"5,000","5,000","5,000","5,650","5,650","5,650","5,650","5,650","6,660","6,660","6,660","6,660","6,660","5,990","5,990","5,990","5,990","5,990","6,330","6,330","6,330","6,330","6,330","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","8,600","6,990","6,990","6,990","6,990","6,990","9,990","9,990","9,990","9,990","9,990","9,990","9,990","9,990","9,990","9,990","7,990","7,990","7,990","7,990","7,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","5,990","5,990","5,990","5,990","5,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","5,000","5,000","5,000","6,660","6,660","6,660","6,660","6,660","5,330","5,330","5,330","5,330","5,330","4,660","4,660","4,660","4,660","4,660","5,000","5,000","4,000","4,000","3,500","3,500","3,500","3,500","3,500","3,990","3,990","3,990","3,990","3,990","3,990","3,990","3,990","3,650","3,650","3,650","3,650","3,650","3,650","3,650","3,990","3,990","3,990","3,990","3,990","4,660","4,660","4,660","4,660","4,660","4,660","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","4,660","4,660","4,660","5,990","5,990","5,990","5,990","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","5,330","9,320","9,320","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","6,660","7,930","7,930","7,930","7,930","7,930","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","9,900","8,990","8,990","8,990","8,990","8,990","7,990","7,990","7,990","7,990","7,990","9,990","9,990","9,990","9,990","9,990","6,990","6,990","6,990","6,990","7,990","7,990","7,990","7,990","7,990","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","9,990","9,990"
,B-유통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,250","5,250","5,250","6,950","5,750","5,750","5,750","5,750","5,750","5,750","5,750","5,750","5,650","5,650","5,650","5,650","5,650","5,650","5,650","5,650","5,650","5,650","5,650","5,300","5,300","5,300","5,650","5,650","5,100","5,100","5,100","5,100","5,100","5,100","5,500","5,500","4,950","4,950","4,950","4,950","4,950","4,950","5,100","5,100","4,900","4,900","4,500","3,950","3,950","3,950","3,950","3,950","3,600","3,600","3,350","4,250","4,250","3,700","3,700","4,000","4,000","4,000","4,000","3,400","3,400","3,400","3,400","3,400","3,400","3,400","3,750","3,250","3,250","3,250","3,250","3,250","3,350","3,350","3,700","3,700","3,700","3,400","3,400","3,400","3,600","3,600","3,600","3,600","3,600","3,600","2,950",-,-,-,-,-,"3,700","3,700","6,250","6,250","6,250","6,250",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,C-유통,"7,710","7,710","7,710","7,710","7,710","7,710","7,710","7,710","5,970","5,970","5,970","5,970","5,970","6,240","6,240","6,240","6,240","6,240","9,200","9,200","9,200","9,200","9,200","10,930","10,930","8,640","8,640","8,640","8,640","8,640","8,640","8,640","8,640","8,640","8,640","7,570","7,970","7,970","7,970",-,"12,770","12,770","12,770","12,770","12,770","12,770","12,770","12,770","12,770","9,040","9,040","11,200","11,200","11,200","7,710","7,710","7,710","7,710","7,710","7,470","7,470","7,470","7,470","7,470","6,390","6,390","6,640","6,640","7,040","7,040","7,040","7,040","7,040","6,370","6,370","6,370","6,370","6,370","5,040","5,040","5,040","5,040","5,040","6,370","6,370","6,370","6,370","6,370","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","6,190","4,650","4,650","4,650","4,650","3,990","3,990","3,990","3,990","3,990","3,650","3,650","3,650","3,650","3,650",-,"3,650","3,650","3,650","3,650","4,380","4,380","4,380","4,380","4,380","4,380","4,380","4,380","4,380","4,380","5,310","5,310","5,310","5,310","5,310","6,640","6,640","6,640","6,640","6,640","5,970","5,970","5,970","5,970","5,970","5,710","5,710","4,910","4,910","5,710","7,040","7,040","5,970","5,970","5,300","5,300","5,300","5,300","5,300","5,970","5,970","5,970","5,970","5,970","7,040","7,040","7,040","7,040","7,040","7,970","7,970","9,970","9,970","7,970","7,970","7,970","7,970","6,370","6,370","6,370","6,370","5,040","5,040","5,040","5,040","10,640","10,640","10,640","10,640","10,640","9,970","9,970","9,970","9,970","9,970","9,310","9,310","9,310","9,310","9,310","10,640","10,640","10,640","10,640","10,640","6,100","6,100","6,100","6,100","6,100","6,640","6,640","6,640","6,640","6,640","8,640","8,640","8,640","8,640","8,640","6,100","6,100","6,100","6,100","6,100","5,040","5,040","5,040","5,040","8,770","8,770","8,770","8,770","8,770","10,640","10,640","10,640","10,640","10,640","10,640","10,640","10,640","10,640","10,640","10,640",-
,E-유통,"6,660","6,660","6,660","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","9,200","9,200","9,200","9,200","9,200","10,530","10,530","9,200","9,200","9,200","9,200","9,200","8,000","8,000","8,000","8,000","8,000","7,860","7,860","7,860","7,860","10,530","10,530","10,530","10,530","10,530","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","6,530","6,530","6,530","6,530","7,970","7,970","7,970","7,970","7,970","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,530","6,530","6,530","6,530","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","5,330","5,330","6,530","6,530","6,530","6,530","6,530","6,530","6,530","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,860","9,200","9,200","9,200","7,330","7,330","7,330","7,330","7,330","6,530","6,530","6,530","6,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","9,200","9,200","9,200","9,200","9,200","10,530","10,530","10,530","10,530","10,530","9,200","9,200","9,200","9,200","9,200","7,860","6,530","6,530","6,530","6,530","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","5,200","5,200","5,200","5,200","9,200","9,200","9,200","9,200","9,200","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","13,200","13,200"
,F-유통,"6,660","6,660","6,660","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","9,200","9,200","9,200","10,530","10,530","9,200","9,200","9,200","9,200","9,200","8,000","8,000","8,000","8,000","8,000","7,860","7,860","7,860","7,860","10,530","10,530","10,530","10,530","10,530","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","11,860","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","7,860","6,530","6,530","6,530","7,970","7,970","7,970","7,970","7,970","7,970","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,530","6,530","6,530","6,530","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","4,660","5,200","5,200","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","5,330","5,330","5,330","5,330","5,330","6,530","6,530","6,530","6,530","7,330","7,330","7,330","7,330","7,330","7,330","7,330","7,330",-,-,-,-,"7,340","7,340","7,340","7,340","7,340","7,860","7,860","7,860","9,200","9,200","7,330","7,330","7,330","7,330","7,330","6,530","6,530","6,530","6,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","9,200","9,200","9,200","9,200","9,200","10,530","10,530","10,530","10,530","10,530","9,200","9,200","9,200","9,200","9,200","9,200","6,530","6,530","6,530","6,530","9,200","9,200","9,200","9,200","9,200","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","7,860","9,200","9,200","9,200","9,200","9,200","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","13,200","13,200"
부산,부전,"3,500","3,500","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,500","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","4,000","4,000","4,000","4,000","3,500","3,500","3,500","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
