구분,,01월 02일,01월 03일,01월 04일,01월 05일,01월 06일,01월 09일,01월 10일,01월 11일,01월 12일,01월 13일,01월 16일,01월 17일,01월 18일,01월 19일,01월 20일,01월 23일,01월 24일,01월 25일,01월 26일,01월 31일,02월 01일,02월 02일,02월 03일,02월 06일,02월 07일,02월 08일,02월 09일,02월 10일,02월 13일,02월 14일,02월 15일,02월 16일,02월 17일,02월 20일,02월 21일,02월 22일,02월 23일,02월 24일,02월 27일,02월 28일,03월 02일,03월 03일,03월 06일,03월 07일,03월 08일,03월 09일,03월 10일,03월 13일,03월 14일,03월 15일,03월 16일,03월 17일,03월 20일,03월 21일,03월 22일,03월 23일,03월 24일,03월 27일,03월 28일,03월 29일,03월 30일,03월 31일,04월 03일,04월 04일,04월 05일,04월 06일,04월 07일,04월 10일,04월 11일,04월 12일,04월 13일,04월 14일,04월 17일,04월 18일,04월 19일,04월 20일,04월 21일,04월 24일,04월 25일,04월 26일,04월 27일,04월 28일,05월 02일,05월 04일,05월 08일,05월 10일,05월 11일,05월 12일,05월 15일,05월 16일,05월 17일,05월 18일,05월 19일,05월 22일,05월 23일,05월 24일,05월 25일,05월 26일,05월 29일,05월 30일,05월 31일,06월 01일,06월 02일,06월 05일,06월 07일,06월 08일,06월 09일,06월 12일,06월 13일,06월 14일,06월 15일,06월 16일,06월 19일,06월 20일,06월 21일,06월 22일,06월 23일,06월 26일,06월 27일,06월 28일,06월 29일,06월 30일,07월 03일,07월 04일,07월 05일,07월 06일,07월 07일,07월 10일,07월 11일,07월 12일,07월 13일,07월 14일,07월 17일,07월 18일,07월 19일,07월 20일,07월 21일,07월 24일,07월 25일,07월 26일,07월 27일,07월 28일,07월 31일,08월 01일,08월 02일,08월 03일,08월 04일,08월 07일,08월 08일,08월 09일,08월 10일,08월 11일,08월 14일,08월 16일,08월 17일,08월 18일,08월 21일,08월 22일,08월 23일,08월 24일,08월 25일,08월 28일,08월 29일,08월 30일,08월 31일,09월 01일,09월 04일,09월 05일,09월 06일,09월 07일,09월 08일,09월 11일,09월 12일,09월 13일,09월 14일,09월 15일,09월 18일,09월 19일,09월 20일,09월 21일,09월 22일,09월 25일,09월 26일,09월 27일,09월 28일,09월 29일,10월 10일,10월 11일,10월 12일,10월 13일,10월 16일,10월 17일,10월 18일,10월 19일,10월 20일,10월 23일,10월 24일,10월 25일,10월 26일,10월 27일,10월 30일,10월 31일,11월 01일,11월 02일,11월 03일,11월 06일,11월 07일,11월 08일,11월 09일,11월 10일,11월 13일,11월 14일,11월 15일,11월 16일,11월 17일,11월 20일,11월 21일,11월 22일,11월 23일,11월 24일,11월 27일,11월 28일,11월 29일,11월 30일,12월 04일,12월 05일,12월 06일,12월 07일,12월 08일,12월 11일,12월 12일,12월 13일,12월 14일,12월 15일,12월 18일,12월 19일,12월 20일,12월 21일,12월 22일,12월 26일,12월 27일,12월 28일,12월 29일
평균,,"10,427","10,495","10,575","10,993","11,115","11,115","11,146","10,977","9,101","9,132","9,298","9,213","9,275","8,276","8,239","7,523","7,453","7,398","7,639","7,657","7,657","7,433","7,350","7,359","7,305","7,305","7,016","7,019","7,041","7,050","7,038","7,037","7,061","7,061","7,047","7,054","7,205","7,206","7,191","7,152","7,451","7,451","7,504","7,504","7,488","7,161","7,126","7,086","7,086","7,046","6,285","6,272","6,281","6,281","6,281","6,584","6,615","6,560","6,545","6,567","6,733","6,754","6,697","6,697","6,692","7,347","7,388","7,393","7,393","7,464","6,821","6,796","6,801","6,772","6,772","5,737","5,643","5,391","5,218","5,213","5,271","5,304","5,327","5,436","5,473","5,491","5,526","5,458","5,399","5,436","5,446","5,612","5,641","5,664","5,664","5,664","5,763","5,804","5,804","5,763","5,748","5,643","5,630","5,622","5,622","5,491","5,472","5,482","5,453","5,385","5,246","5,232","5,317","5,341","5,332","5,408","5,399","5,399","5,500","5,419","5,023","4,949","4,964","4,934","4,934","4,439","4,410","4,364","4,314","4,345","4,262","4,229","4,227","4,233","4,256","4,317","4,311","4,327","4,327","4,327","4,706","4,709","4,693","4,763","4,763","5,907","6,326","6,454","6,473","6,489","6,336","6,462","6,458","6,497","6,658","6,708","6,756","6,790","6,790","8,247","8,428","8,428","8,478","8,507","9,369","9,538","9,983","10,052","10,052","9,431","9,661","9,661","9,747","9,696","10,349","10,290","10,185","10,194","10,114","8,921","8,759","8,837","8,880","8,837","9,564","9,555","9,539","9,445","7,472","7,253","7,253","7,080","7,040","5,830","5,696","5,613","5,595","5,612","5,364","5,456","5,599","5,632","5,619","6,428","6,428","6,482","6,482","6,491","6,154","6,154","6,217","6,189","6,189","5,513","5,521","5,513","5,513","5,513","5,283","5,210","5,155","5,100","5,100","5,215","5,151","5,159","5,109","4,907","4,907","4,912","4,912","4,912","4,779","4,747","4,816","4,796","4,699","5,016","5,000","5,000","5,002","5,310","5,409"
평년,,"7,084","7,082","7,063","7,094","7,123","7,143","7,098","7,061","7,022","6,997","6,861","6,855","6,843","6,832","6,826","6,845","6,847","6,853","6,898","7,076","7,105","7,153","7,120","7,188","7,186","7,144","7,143","7,152","7,086","7,097","7,111","7,122","7,133","7,065","7,049","7,036","7,010","6,989","6,871","6,889","6,989","7,030","7,084","7,109","7,194","7,264","7,277","7,250","7,212","7,173","7,130","7,091","7,099","7,125","7,134","7,138","7,113","7,005","7,001","6,954","6,920","6,884","6,992","7,033","7,013","6,987","6,934","6,654","6,565","6,499","6,459","6,428","6,406","6,402","6,395","6,366","6,364","6,424","6,454","6,444","6,418","6,418","6,419","6,342","6,213","6,120","6,107","6,092","5,924","5,827","5,726","5,671","5,610","5,465","5,435","5,430","5,423","5,434","5,338","5,300","5,238","5,213","5,153","5,017","4,984","4,953","4,909","4,831","4,779","4,754","4,721","4,683","4,623","4,613","4,605","4,597","4,589","4,533","4,503","4,512","4,505","4,480","4,380","4,343","4,318","4,300","4,268","4,284","4,268","4,269","4,253","4,272","4,313","4,297","4,308","4,321","4,349","4,474","4,514","4,536","4,561","4,544","4,552","4,582","4,613","4,656","4,665","4,755","4,791","4,825","4,855","4,871","5,012","5,063","5,104","5,115","5,183","5,298","5,349","5,413","5,485","5,631","5,725","5,821","5,853","5,895","5,891","5,824","5,847","5,883","5,918","6,082","6,195","6,305","6,383","6,399","6,476","6,515","6,512","6,507","6,488","6,339","6,322","6,260","6,205","6,191","6,235","6,190","6,163","6,118","6,371","6,486","6,576","6,686","6,707","6,656","6,643","6,647","6,624","6,610","6,500","6,413","6,307","6,209","6,327","6,113","6,060","6,003","5,937","5,901","5,822","5,785","5,782","5,797","5,809","5,796","5,821","5,825","5,832","5,819","5,738","5,711","5,655","5,577","5,521","5,530","5,589","5,677","5,787","6,044","6,127","6,210","6,302","6,364","6,655","6,742","6,835","6,958","7,038","7,271","7,396","7,468","7,539"
서울,영등포,"7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","7,000","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,500","7,500","6,250","6,250","6,250","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000",-,-,-,-,-,-,-,-,-,-,-,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
,A-유통,"9,990","9,990","9,990","9,990","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","7,990","7,990","7,990","7,990","7,990","7,990","9,320","9,320","9,320","9,320","9,320","9,320","9,320","7,990","9,320","9,320","9,320","9,320","9,320","9,320","9,320","8,330","8,330","8,330","6,650","6,650","6,650","6,650","6,650","7,990","7,990","7,990","7,990","7,990","6,990","6,990","6,990","6,990","6,990","7,990","7,990","7,990","7,990","7,990","6,660","6,660","6,660","6,660","6,660","6,660","6,660","4,500","4,500","4,500","4,500","4,500","4,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","3,500","3,500","3,500","3,500","3,500","3,990","3,990","3,990","3,990","3,990","3,990","7,990","7,990","7,990","7,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","7,990","7,990","7,990","7,990","7,990","7,990","12,490","12,490","12,490","10,650","10,650","10,650","10,650","10,650","13,320","13,320","13,320","13,320","13,320","10,650","10,650","10,650","10,650","10,650","13,320","13,320","13,320","13,320","10,650","10,650","10,650","10,650","10,650","7,990","5,990","5,990","5,990","5,990","4,000","4,000","4,000","4,000","4,000","6,990","6,990","6,990","6,990","6,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","4,990","4,990","4,990","4,990","4,990","4,990","4,990","4,990","4,990","4,790","4,790","4,790","4,790","4,790","5,990","5,990"
,B-유통,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,100","5,400","5,400","5,400","5,400","5,400","5,700","5,700","5,700","5,700","5,700","5,700","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","5,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","4,950","5,250","5,250","5,250","5,250","4,750","4,750","4,950","3,950","3,950","3,950","4,750","4,750","4,750","4,750","4,750","4,750","4,750","4,750","4,750","3,900","4,250","4,250","4,250","4,250","4,250","4,250","4,250","3,750","3,750","3,750","4,250","4,750","4,750","3,750","3,750","3,750","3,450","3,450","3,450","3,450","3,450","3,450","3,450","3,450","3,450","3,450","3,450","4,250","3,950","3,950","3,950","3,950",-,"3,250","3,250","3,250","3,750","3,750","3,750","3,750","3,750","3,250","3,450","3,450","3,450","3,450","3,450","3,250","3,750","3,750","3,750","3,950","3,950","3,950","5,500","5,500","5,500","5,750","5,750","5,750","5,750","5,750","5,750","5,750","8,250","8,250","5,750","5,750","5,750","8,450","8,450","8,450","8,450","9,450","9,450","9,450","9,900","10,750","10,750","10,750","13,400","13,400","13,400","13,400","13,400","13,400","13,400","11,000","11,000","11,000","11,000","11,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","7,000","7,000","4,750","4,750","4,750","4,250","4,250","4,250","4,250","4,250","4,250","4,750","4,750","4,750","5,750","5,750","5,750","5,250","5,250","5,250","5,250","5,250","5,250","5,250","5,250","4,450","4,450","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,600","3,990","3,990","3,990","4,250","4,250","5,250"
,C-유통,"13,070","13,070","13,070","13,070","13,070","13,070","13,070","13,070","6,640","6,640","6,640","6,640","6,640","6,640",-,"6,370","6,370","6,370","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,980","6,980","6,980","6,480","6,480","6,480","6,480","6,480","6,980","6,980","6,980","6,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","5,980","7,970","7,970","7,970","7,970","7,970","6,510","6,510","6,510","6,510","6,510","6,510","6,510","6,510","3,980","3,980","3,980","3,980","3,980","5,310","5,310","5,310","5,330","5,330","5,330","5,330","5,330","5,310","5,310","5,310","5,310","5,310","5,570","5,570","5,570","5,570","5,570","5,570","5,570","5,170","5,170","5,170","5,170","5,170","5,170","5,170",-,-,-,-,-,-,"5,310","5,310","5,310","5,310","5,310","5,310","5,310","5,310","5,310","5,310","5,310","3,970","3,710","3,710","3,580","3,580","3,580","3,580","3,580",-,-,-,-,-,"5,310","5,310","5,310","5,310","5,310","5,580","5,580","5,580","5,580","5,580","7,310","7,310","7,310","7,310","7,970","7,970","7,970","7,970","7,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,970","9,310","9,310","9,310","9,310","9,310","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","5,310","5,310","5,310","5,310","5,310","4,650","4,650","4,650","4,650","4,650","6,110","5,970","5,970","5,970","5,970","6,640","6,640","6,910","6,910","6,910","6,640","6,640","6,640","6,640","6,640","5,310","5,310","5,310","5,310","5,310","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,510","4,240","4,240","4,240","4,240","4,240","5,040","5,040","5,040","5,040","5,040","5,040"
,E-유통,"13,200","13,200","13,200","13,200","13,200","13,200","13,200","13,200","10,530","10,530","10,530","10,530","10,530","6,530","6,530","6,530","6,530","6,530","7,860","7,860","7,860","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,330","7,330","7,330","7,330","7,330","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","7,860","7,860","7,860","7,860","7,860","8,640","8,640","8,640","8,640","8,640","7,970","7,970","7,970","7,970","7,970","5,310","5,310","5,310","5,310","5,310","6,000","6,000","6,000","6,000","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,300","5,300","5,300","5,300","5,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","7,870","7,870","7,870","7,870","7,870","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,200","9,200","9,200","9,200","9,200","9,200","9,200","9,200","9,200","7,330","7,330","7,330","7,330","7,330","6,000","6,000","6,000","6,000","6,000","5,200","5,200","5,200","5,200","5,200","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","5,200","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","4,660","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","6,000","6,000","6,000","6,000","6,000","6,000"
,F-유통,"13,200","13,200","13,200","13,200","13,200","13,200","13,200","13,200","10,530","10,530","10,530","10,530","10,530","6,530","6,530","6,530","6,530","6,530","7,860","7,860","7,860","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,330","7,330","7,330","7,330","7,330","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","7,970","7,970","7,970","7,970","7,970","8,640","8,640","8,640","8,640","8,640","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","7,970","6,420","6,420","6,420","6,420","6,420","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","6,640","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,300","5,300","5,300","5,300","5,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","7,300","6,600","6,600","6,600","6,600","6,600","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,530","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","9,200","9,200","9,200","9,200","9,200","9,200","9,200","9,200","9,200","7,330","7,330","7,330","7,330","7,330","6,530","6,000","6,000","6,000","6,000","5,200","5,200","5,200","5,200","5,200","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","6,530","5,200","5,200","5,200","5,200","5,200","4,660","4,660","4,660","4,660","4,660","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","5,200","6,000","6,000","6,000","6,000","6,000","6,000"
부산,부전,"6,000","6,000","6,000","6,000","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","4,500","4,500","4,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","4,500","4,500","4,500","4,000","4,000","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,500","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
,A-유통,"9,990","9,990","9,990","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","9,320","6,650","6,650","6,650","6,650","6,650","7,990","7,990","7,990","7,990","7,990","6,990","6,990","6,990","6,990","6,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","7,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","6,990","5,490","5,490","5,490","5,490","5,490","5,990","5,990","5,990","5,990","5,990","4,990","4,990","4,990","4,990","4,990","4,490","4,490","4,490","4,490","4,490","3,990","3,990","3,990","3,990","3,990","3,590","3,590","3,590","3,590","3,590","3,990","3,990","3,990","3,990","3,990","3,990","7,990","7,990","7,990","7,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","7,990","7,990","7,990","7,990","7,990","13,320","13,320","13,320","13,320","13,320","10,650","10,650","10,650","10,650","10,650","13,320","13,320","13,320","13,320","13,320","10,650","10,650","10,650","10,650","10,650","13,320","13,320","13,320","13,320","10,650","10,650","10,650","10,650","10,650","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","6,990","6,990","6,990","6,990","6,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","5,990","4,990","4,990","4,990","4,990","4,790","4,790","4,790","4,790","4,790","5,990","5,990"
