"CUST_ID","DIVIDED_SET","SIU_CUST_YN","SEX","AGE","RESI_COST","RESI_TYPE_CODE","FP_CAREER","CUST_RGST","CTPR","OCCP_GRP_1","OCCP_GRP_2","TOTALPREM","MINCRDT","MAXCRDT","WEDD_YN","MATE_OCCP_GRP_1","MATE_OCCP_GRP_2","CHLD_CNT","LTBN_CHLD_AGE","MAX_PAYM_YM","MAX_PRM","CUST_INCM","RCBASE_HSHD_INCM","JPBASE_HSHD_INCM"
1,1,0,2,4,21111,20,0,199910,11,3,"사무직",146980441,6,6,1,3,"2차산업 종사자",2,13,200811,319718,4879,10094,11337
2,1,0,1,5,40000,20,0,199910,1,3,"사무직",94600109,1,6,1,1,"주부",2,17,200012,341341,6509,9143,6509
3,1,0,1,6,0,0,0,199910,1,5,"2차산업 종사자",18501269,6,6,0,0,"",0,0,200305,131300,4180,0,4180
4,1,0,2,6,12861,40,1,199910,9,2,"3차산업 종사자",317223657,2,99,0,0,"",0,0,201009,1493184,0,4270,5914
5,1,0,2,5,0,0,1,199910,5,2,"3차산업 종사자",10506072,8,8,1,3,"고위 공무원",3,19,200807,166760,3894,0,8885
6,1,0,1,6,6218,99,0,199910,12,3,"고위 공무원",22313040,6,6,1,1,"주부",1,34,201606,82850,0,0,6449
7,1,1,2,6,11388,30,0,199910,1,5,"3차산업 종사자",46522197,6,6,1,0,"",1,26,200903,482077,3611,0,3611
8,1,0,1,5,86527,20,1,199910,1,2,"자영업",151085847,6,6,1,2,"3차산업 종사자",1,21,200610,10283415,6465,12219,12063
9,1,0,1,5,22638,20,0,199910,1,4,"공무원",3666050,6,6,1,4,"공무원",1,13,200207,29,4975,7553,9821
12,1,0,1,5,37222,20,0,199910,1,4,"대학교수/강사",135719262,6,8,1,4,"교사",2,23,200403,724768,8780,10466,13858
13,1,1,1,6,8140,50,0,199910,9,6,"운전직",33261687,6,7,1,5,"예체능계 종사자",0,0,199812,483850,0,4066,0
15,1,0,1,5,23055,20,0,199910,1,3,"사무직",33336919,6,6,1,1,"주부",0,0,200512,594075,4362,6654,4362
16,1,0,2,5,6684,12,0,199910,13,1,"주부",77429702,6,6,1,3,"사무직",0,0,201301,2062433,0,5285,5620
17,1,0,1,6,14027,20,0,199910,3,5,"2차산업 종사자",10122595,6,6,1,1,"주부",0,0,200305,229500,0,4538,5869
18,1,0,1,4,33333,20,0,199910,9,5,"2차산업 종사자",10317997,10,8,1,3,"단순 사무직",4,6,201310,458095,5911,9026,10079
19,1,0,1,6,15833,20,0,199911,9,2,"자영업",11323581,6,6,1,1,"주부",1,34,199907,300000,0,5075,6120
20,1,0,1,5,28888,20,0,200003,9,2,"자영업",52994443,6,6,1,5,"3차산업 종사자",2,23,201203,130000,6024,9441,9481
21,1,0,2,6,8802,11,0,200011,15,1,"주부",13105235,6,6,1,0,"",2,29,200708,112749,0,3973,3922
22,1,0,2,5,4309,12,1,200102,9,2,"3차산업 종사자",56516442,6,99,1,2,"자영업",2,22,201208,466370,3825,5206,10174
23,1,0,1,8,7813,40,0,200102,3,5,"3차산업 종사자",7282800,6,6,1,5,"3차산업 종사자",0,0,201508,60690,0,1274,1379
24,1,0,2,5,1471,11,0,200103,2,2,"자영업",69535310,6,6,1,3,"사무직",1,35,200409,588610,3794,4534,9050
25,1,0,2,4,30000,20,0,200103,9,1,"주부",50382067,6,99,1,5,"예체능계 종사자",2,15,200610,2191266,0,7591,5323
26,1,1,2,5,15555,20,1,200104,5,2,"3차산업 종사자",110828477,6,6,1,2,"자영업",2,28,200103,1957263,3866,6381,9091
27,1,0,1,5,36111,20,0,200104,1,6,"운전직",17240200,6,6,1,4,"교사",2,29,200301,202450,5632,10707,10737
